year,ssp119,ssp126,ssp245,ssp370,ssp585
2020,0.039,0.039,0.039,0.039,0.039
2030,0.072,0.072,0.072,0.073,0.078
2040,0.095,0.102,0.108,0.113,0.122
2050,0.13,0.141,0.157,0.167,0.18
2060,0.148,0.17,0.197,0.216,0.238
2070,0.177,0.207,0.242,0.276,0.307
2080,0.193,0.23,0.287,0.337,0.377
2090,0.215,0.252,0.326,0.406,0.468
2100,0.212,0.265,0.371,0.48,0.555
2110,0.241,0.293,0.395,0.497,0.557
2120,0.256,0.315,0.436,0.564,0.633
2130,0.269,0.335,0.476,0.632,0.706
2140,0.28,0.354,0.515,0.698,0.776
2150,0.29,0.371,0.553,0.763,0.839
