year,ssp119,ssp126,ssp245,ssp370,ssp585
2020,0.061,0.061,0.061,0.061,0.062
2030,0.117,0.117,0.117,0.117,0.122
2040,0.168,0.175,0.18,0.185,0.197
2050,0.232,0.247,0.263,0.274,0.293
2060,0.286,0.311,0.343,0.365,0.396
2070,0.356,0.391,0.437,0.476,0.522
2080,0.421,0.466,0.54,0.6,0.664
2090,0.489,0.539,0.646,0.741,0.828
2100,0.548,0.615,0.759,0.901,1.011
2110,0.62,0.702,0.887,1.043,1.191
2120,0.682,0.777,1.0,1.199,1.37
2130,0.74,0.851,1.113,1.355,1.545
2140,0.798,0.923,1.223,1.506,1.715
2150,0.855,0.994,1.332,1.652,1.878
