year,ssp119,ssp126,ssp245,ssp370,ssp585
2020,0.043,0.043,0.043,0.043,0.043
2030,0.08,0.079,0.08,0.081,0.085
2040,0.107,0.114,0.119,0.124,0.134
2050,0.146,0.158,0.173,0.183,0.198
2060,0.169,0.192,0.219,0.239,0.262
2070,0.206,0.234,0.273,0.306,0.339
2080,0.231,0.266,0.323,0.377,0.42
2090,0.26,0.298,0.378,0.457,0.52
2100,0.275,0.324,0.435,0.548,0.625
2110,0.296,0.351,0.463,0.571,0.642
2120,0.317,0.38,0.513,0.651,0.732
2130,0.335,0.407,0.562,0.731,0.818
2140,0.353,0.433,0.611,0.809,0.9
2150,0.369,0.457,0.657,0.885,0.976
